name_rus;judge_id;judge_name;element_name;mark
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;3A;-3
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;3Lz+3T;3
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;FCSp4;3
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;3F;3
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;LSp3;3
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;StSq3;3
Елизавета ТУКТАМЫШЕВА;id1;Леонид СМИРНОВ;CCoSp4;4
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;3A;-3
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;3Lz+3T;4
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;FCSp4;5
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;3F;2
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;LSp3;3
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;StSq3;3
Елизавета ТУКТАМЫШЕВА;id2;Алексей СУЧКОВ;CCoSp4;4
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;3A;-3
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;3Lz+3T;3
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;FCSp4;4
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;3F;2
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;LSp3;3
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;StSq3;4
Елизавета ТУКТАМЫШЕВА;id3;Пётр КИПРУШЕВ;CCoSp4;3
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;3A;-4
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;3Lz+3T;4
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;FCSp4;4
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;3F;3
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;LSp3;3
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;StSq3;3
Елизавета ТУКТАМЫШЕВА;id4;Галина ИСТОМИНА;CCoSp4;4
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;3A;-5
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;3Lz+3T;4
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;FCSp4;4
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;3F;3
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;LSp3;3
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;StSq3;3
Елизавета ТУКТАМЫШЕВА;id5;Анна ПОЛИКАРПОВА;CCoSp4;4
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;3A;-3
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;3Lz+3T;3
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;FCSp4;4
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;3F;3
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;LSp3;4
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;StSq3;3
Елизавета ТУКТАМЫШЕВА;id6;Эльвира СЕРЕБРЯКОВА;CCoSp4;4
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;3A;-3
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;3Lz+3T;3
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;FCSp4;3
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;3F;2
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;LSp3;3
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;StSq3;3
Елизавета ТУКТАМЫШЕВА;id7;Святослав БАБЕНКО;CCoSp4;3
